Predator	Prey
Halicarcinus planatus 	Copepoda
Halicarcinus planatus 	Fresh detritus
Harpagifer bispinis	Nemertea
Harpagifer bispinis	Amphipoda
Harpagifer bispinis	Amphipoda
Harpagifer bispinis	Amphipoda
Harpagifer bispinis	Cirripedia
Harpagifer bispinis	Exosphaeroma gigas
Harpagifer bispinis	Exosphaeroma gigas
Harpagifer bispinis	Exosphaeroma gigas
Harpagifer bispinis	Gammaridea
Harpagifer bispinis	Isopoda
Harpagifer bispinis	Isopoda
Harpagifer bispinis	Isopoda
Harpagifer bispinis	Laevilitorina caliginosa
Harpagifer bispinis	Nereididae
Harpagifer bispinis	Nereididae
Harpagifer bispinis	Ostracoda
Harpagifer bispinis	Ostracoda
Harpagifer bispinis	Perumytilus purpuratus
Harpagifer bispinis	Polychaeta
Harpagifer bispinis	Polychaeta
Harpagifer bispinis	Polynoidae
Harpagifer bispinis	Polynoidae
Harpagifer bispinis	Amphipoda
Harpagifer bispinis	Isopoda
Harpagifer bispinis	Polychaeta
Harpagifer bispinis	Copepoda
Harpagifer bispinis	Copepoda
Harpagifer bispinis	Nemertea
Hiatella arctica	Fresh detritus
Hiatella arctica	Phytoplankton
Hiatella arctica	Fresh detritus
Holothuroidea	Fresh detritus
Hydrozoa	Nemertea
Hydrozoa	Euphausiacea
Hydrozoa	Gammaridea
Hydrozoa	Ostracoda
Hydrozoa	Polynoidae
Hydrozoa	Zooplankton
Hydrozoa	Diatomea
Hydrozoa	Copepoda
Hydrozoa	Fresh detritus
Hydrozoa	Fresh detritus
Hydrozoa	Zooplankton
Hydrozoa	Phytoplankton
Hydrozoa	Fresh detritus
Hydrozoa	Zooplankton
Hydrozoa	Diatomea
Hydrozoa	Phytoplankton
Hydrozoa	Fresh detritus
Hydrozoa	Fresh detritus
Hyperiidea	Euphausiacea
Hyperiidea	Ostracoda
Hyperiidea	Zooplankton
Hyperiidea	Copepoda
Hyperiidea	Copepoda
Hyperiidea	Copepoda
Hyperiidea	Euphausiacea
Hyperiidea	Zooplankton
Hyperiidea	Zooplankton
Isopoda	Adenocystis utricularis
Isopoda	Callophyllis pinnata
Isopoda	Ceramium diaphanum
Isopoda	Ulva sp.
Isopoda	Fresh detritus
Isopoda	Macrocystis pyrifera
Isopoda	Nothogenia fastigiata
Isopoda	Scytothamus fasciculatus
Isopoda	Ulva rigida
Laevilitorina caliginosa	Cladophora sp.
Laevilitorina caliginosa	Desmarestia sp.
Laevilitorina caliginosa	Macroalgae
Laevilitorina caliginosa	Phytoplankton
Laevilitorina caliginosa	Phytoplankton
Laevilitorina caliginosa	Polysiphonia sp.
Laevilitorina caliginosa	Porphyra sp.
Laevilitorina caliginosa	Ulva sp.
Laevilitorina caliginosa	Zooplankton
Laevilitorina caliginosa	Diatomea
Laevilitorina caliginosa	Fresh detritus
Lithodes santolla	Amphipoda
Lithodes santolla	Amphipoda
Lithodes santolla	Ascidiacea
Lithodes santolla	Aulacomya atra
Lithodes santolla	Bivalvia
