Predator	Prey
Notothenia coriiceps	Polychaeta
Notothenia coriiceps	Polychaeta
Notothenia coriiceps	Polychaeta
Notothenia coriiceps	Polychaeta
Notothenia coriiceps	Polyplacophora
Notothenia coriiceps	Polyplacophora
Notothenia coriiceps	Polyplacophora
Notothenia coriiceps	Porphyra plocamiestris 
Notothenia coriiceps	Probolisca ovata
Notothenia coriiceps	Probolisca ovata
Notothenia coriiceps	Prostebbingia gracilis
Notothenia coriiceps	Prostebbingia gracilis
Notothenia coriiceps	Prostebbingia sp.
Notothenia coriiceps	Prostebbingia sp.
Notothenia coriiceps	Prostebbingia sp.
Notothenia coriiceps	Pseudorchomene plebs
Notothenia coriiceps	Salpidae
Notothenia coriiceps	Salpidae
Notothenia coriiceps	Salpidae
Notothenia coriiceps	Salpidae
Notothenia coriiceps	Serolis sp.
Notothenia coriiceps	Serolis sp.
Notothenia coriiceps	Serolis sp.
Notothenia coriiceps	Serolis sp.
Notothenia coriiceps	Serolis sp.
Notothenia coriiceps	Serolis sp.
Notothenia coriiceps	Tanaidacea
Notothenia coriiceps	Tanaidacea
Notothenia coriiceps	Tanaidacea
